case_id,domain,mode,review_decision_ACCEPT_ADJUST_REJECT,accepted_external_evidence_grounding_score,accepted_external_gate_compliance_score,accepted_external_claim_boundary_score,accepted_external_state_vector_reasonableness_score,accepted_external_delta_reasonableness_score,accepted_external_drd_dzr_reasonableness_score,accepted_external_token_expansion_fidelity_score,accepted_external_next_action_quality_score,accepted_external_usefulness_score,accepted_external_false_memory_risk,accepted_external_hallucination_risk_flag,accepted_external_over_review_flag,accepted_external_under_review_flag,accepted_external_accept_for_calibration_signal,human_reviewer_notes,source_suggested_row
EXT-EVAL-B01H-001,TIC/SI / ITSM,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-002,TIC/SI / ITSM,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-003,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-004,TIC/SI / ITSM,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-005,TIC/SI / ITSM,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-006,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-007,VesselFlow / Operação marítima,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-008,VesselFlow / Operação marítima,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-009,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-010,VesselFlow / Operação marítima,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-011,VesselFlow / Operação marítima,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-012,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-013,Jurídico / Escritório,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-014,Jurídico / Escritório,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-015,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-016,Jurídico / Escritório,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-017,Jurídico / Escritório,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-018,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-019,Financeiro / Administrativo,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-020,Financeiro / Administrativo,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-021,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-022,Financeiro / Administrativo,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-023,Financeiro / Administrativo,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-024,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-025,Pequenos negócios de campo,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-026,Pequenos negócios de campo,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-027,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-028,Pequenos negócios de campo,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-029,Pequenos negócios de campo,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-030,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-031,Governança documental,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-032,Governança documental,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-033,Governança documental,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-034,Governança documental,PURE_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-035,Governança documental,STACK_GPT,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
EXT-EVAL-B01H-036,Governança documental,CASULO_EXOCORTEX_STACK,,,,,,,,,,,,,,,,,product/evaluation/casulo_delta_zero_assisted_scoring_draft_v0_3.csv
