case_id,domain,mode,computed_gate,model_gate,delta_score,drd,dzr,hard_blocks,suggestion_confidence,review_priority_score,prep_recommendation,human_decision_ACCEPT_ADJUST_REJECT,human_notes,accepted_evidence_grounding_score,accepted_gate_compliance_score,accepted_claim_boundary_score,accepted_state_vector_reasonableness_score,accepted_delta_reasonableness_score,accepted_drd_dzr_reasonableness_score,accepted_token_expansion_fidelity_score,accepted_next_action_quality_score,accepted_usefulness_score,accepted_false_memory_risk,accepted_hallucination_risk_flag,accepted_over_review_flag,accepted_under_review_flag,accepted_accept_for_calibration_signal,suggested_evidence_grounding_score,suggested_gate_compliance_score,suggested_claim_boundary_score,suggested_state_vector_reasonableness_score,suggested_delta_reasonableness_score,suggested_drd_dzr_reasonableness_score,suggested_token_expansion_fidelity_score,suggested_next_action_quality_score,suggested_usefulness_score,suggested_false_memory_risk,suggested_hallucination_risk_flag,suggested_over_review_flag,suggested_under_review_flag,suggested_accept_for_calibration_signal,case_packet
EXT-EVAL-B01H-028,Pequenos negócios de campo,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4767,0.4347,0.5653,blocked_state_or_production_block|thin_evidence,LOW,24.9301,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.4,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.9,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-028.md
EXT-EVAL-B01H-016,Jurídico / Escritório,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.5168,0.4648,0.5352,thin_evidence,LOW,15.0504,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,3.9,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-016.md
EXT-EVAL-B01H-032,Governança documental,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4988,0.4584,0.5416,thin_evidence,LOW,14.9964,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-032.md
EXT-EVAL-B01H-001,TIC/SI / ITSM,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4923,0.4561,0.5439,thin_evidence,LOW,14.9769,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-001.md
EXT-EVAL-B01H-003,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4923,0.4561,0.5439,thin_evidence,LOW,14.9769,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-003.md
EXT-EVAL-B01H-022,Financeiro / Administrativo,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4823,0.4526,0.5474,thin_evidence,LOW,14.9469,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-022.md
EXT-EVAL-B01H-023,Financeiro / Administrativo,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.48,0.4518,0.5482,thin_evidence,LOW,14.94,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-023.md
EXT-EVAL-B01H-024,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4799,0.4517,0.5483,thin_evidence,LOW,14.9397,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-024.md
EXT-EVAL-B01H-030,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.474,0.4496,0.5504,thin_evidence,LOW,14.922,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-030.md
EXT-EVAL-B01H-033,Governança documental,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4548,0.4429,0.5571,thin_evidence,LOW,14.8644,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-033.md
