case_id,case_family,document_type,ambiguity_level,missingness_level,noise_level,conflict_level,document_complexity,domain_risk,evidence_strength,ambiguity_bucket,direct_hallucination,casulo_hallucination,hallucination_reduction,residual_delta_index,delta_control_score,evidence_coverage,invented_fields,unsupported_fields,decision
SEED-101-STOCH-0001-PARSER_DOCUMENTAL,parser_documental,checklist,74,24,69,45,4,low,54,A3_high,63,20,43,44,85,49,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0002-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,27,77,28,36,4,medium,49,A1_low,83,26,57,56,89,47,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0003-RULE_EXTRACTION,rule_extraction,business_rule_sheet,56,9,32,24,2,medium,74,A2_medium,71,21,50,25,88,71,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0004-SOFTWARE_REVIEW,software_review,incident_log,98,68,46,24,4,high,35,A4_extreme,100,41,59,66,85,30,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0005-PARSER_DOCUMENTAL,parser_documental,email_request,81,51,54,26,1,medium,45,A4_extreme,68,19,49,54,86,40,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0006-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,38,27,14,83,5,high,64,A1_low,100,33,67,44,87,62,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0007-RULE_EXTRACTION,rule_extraction,business_rule_sheet,50,100,48,29,4,medium,31,A2_medium,100,34,66,72,85,28,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0008-SOFTWARE_REVIEW,software_review,repo_summary,95,85,53,0,4,medium,31,A4_extreme,100,35,65,68,85,26,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0009-PARSER_DOCUMENTAL,parser_documental,form_record,44,2,47,90,3,low,68,A2_medium,53,17,36,36,85,65,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0010-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,72,19,4,55,2,high,65,A3_high,89,26,63,41,87,62,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
