case_id,execution_id,scenario_id,domain,mode,model_gate,computed_gate,delta_score,delta_band,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,case_packet,suggested_external_evidence_grounding_score,suggested_external_gate_compliance_score,suggested_external_claim_boundary_score,suggested_external_state_vector_reasonableness_score,suggested_external_delta_reasonableness_score,suggested_external_drd_dzr_reasonableness_score,suggested_external_token_expansion_fidelity_score,suggested_external_next_action_quality_score,suggested_external_usefulness_score,suggested_external_false_memory_risk,suggested_external_hallucination_risk_flag,suggested_external_over_review_flag,suggested_external_under_review_flag,suggested_external_accept_for_calibration_signal,suggestion_confidence,review_priority_score,assistant_draft_only,human_acceptance_required,must_not_copy_without_review
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,tic_si_itsm_01,TIC/SI / ITSM,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4923,0.31-0.60,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-001.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.9769,true,true,true
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,tic_si_itsm_01,TIC/SI / ITSM,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4439,0.31-0.60,0.5,0.439,0.561,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-002.md,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,LOW,14.8317,true,true,true
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,tic_si_itsm_01,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4923,0.31-0.60,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-003.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.9769,true,true,true
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,tic_si_itsm_02,TIC/SI / ITSM,PURE_GPT,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3635,0.31-0.60,0.5,0.3339,0.6661,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-004.md,3.2,2.5,4.5,3.6,3.2,4.3,3.0,3.9,3.4,LOW,false,true,false,false,LOW,4.5905,true,true,true
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,tic_si_itsm_02,TIC/SI / ITSM,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2545,0.11-0.30,0.25,0.2366,0.7634,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION|TIC_MESH_LOCKED,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-005.md,3.2,3.8,4.5,3.8,3.8,4.6,3.0,3.5,3.7,LOW,false,false,false,true,MEDIUM,2.0135,true,true,true
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,tic_si_itsm_02,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3866,0.31-0.60,0.5,0.3712,0.6288,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-006.md,2.3,2.5,3.8,3.5,3.2,4.2,3.0,3.9,3.1,LOW,false,true,false,false,LOW,14.6598,true,true,true
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4192,0.31-0.60,0.5,0.4144,0.5856,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-007.md,1.4,2.5,3.8,3.1,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,LOW,14.7576,true,true,true
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2876,0.11-0.30,0.25,0.28,0.72,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-008.md,2.3,3.8,4.5,3.5,3.8,4.4,3.0,3.5,3.5,LOW,false,false,false,false,MEDIUM,2.1128,true,true,true
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3697,0.31-0.60,0.5,0.3678,0.6322,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-009.md,2.3,2.5,4.5,3.3,3.2,4.2,3.0,3.9,3.2,LOW,false,true,false,false,LOW,4.6091,true,true,true
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2736,0.11-0.30,0.25,0.2751,0.7249,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-010.md,2.3,3.8,4.5,3.5,3.8,4.5,3.0,3.5,3.5,LOW,false,false,false,false,MEDIUM,2.0708,true,true,true
