case_id,case_family,document_type,ambiguity_level,missingness_level,noise_level,conflict_level,document_complexity,domain_risk,evidence_strength,synthetic_profile,blocked_outputs
STOCH-0001-PARSER_DOCUMENTAL,parser_documental,checklist,74,24,69,45,4,low,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0002-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,27,77,28,36,4,medium,49,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0003-RULE_EXTRACTION,rule_extraction,business_rule_sheet,56,9,32,24,2,medium,74,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0004-SOFTWARE_REVIEW,software_review,incident_log,98,68,46,24,4,high,35,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0005-PARSER_DOCUMENTAL,parser_documental,email_request,81,51,54,26,1,medium,45,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0006-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,38,27,14,83,5,high,64,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0007-RULE_EXTRACTION,rule_extraction,business_rule_sheet,50,100,48,29,4,medium,31,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0008-SOFTWARE_REVIEW,software_review,repo_summary,95,85,53,0,4,medium,31,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0009-PARSER_DOCUMENTAL,parser_documental,form_record,44,2,47,90,3,low,68,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0010-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,72,19,4,55,2,high,65,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0011-RULE_EXTRACTION,rule_extraction,policy,97,19,51,87,3,high,47,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0012-SOFTWARE_REVIEW,software_review,repo_summary,63,65,39,23,5,medium,46,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0013-PARSER_DOCUMENTAL,parser_documental,service_intake,8,4,73,44,5,medium,79,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
