case_id,execution_id,scenario_id,domain,mode,state_payload_id,risk_level,evidence_level,gate,review_ready,latency_ms,full_output_length,evidence_sufficiency,self_evidence_grounding_score,self_state_completeness_score,self_unsupported_claim_count,self_missing_evidence_claim_count,self_gate_violation_count,self_manual_arbitration_needed_count,self_false_memory_risk,self_context_regression_count,candidate_token_count,candidate_tokens,pre_external_priority_score,pre_external_ohri_proxy,pre_external_oqi_proxy,pre_external_zpi_proxy,final_indices_ready
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,tic_si_itsm_01,TIC/SI / ITSM,PURE_GPT,P0STATE-EXT-EVAL-B01H-001,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,7990,646,insufficient,1,1,0,5,0,1,HIGH,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.572,0.528,0.68,0.7892,False
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,tic_si_itsm_01,TIC/SI / ITSM,STACK_GPT,P0STATE-EXT-EVAL-B01H-002,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,6303,623,insufficient,1,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7896,False
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,tic_si_itsm_01,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-003,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,6512,691,insufficient,1,1,0,4,0,1,HIGH,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.572,0.528,0.68,0.7885,False
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,tic_si_itsm_02,TIC/SI / ITSM,PURE_GPT,P0STATE-EXT-EVAL-B01H-004,HIGH,PARTIAL,BLOCKED,True,8595,651,partial,4,2,0,1,0,1,MEDIUM,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.356,0.2653,0.86,0.8992,False
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,tic_si_itsm_02,TIC/SI / ITSM,STACK_GPT,P0STATE-EXT-EVAL-B01H-005,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,10085,705,partial,4,1,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|TIC_MESH_LOCKED,0.38,0.2653,0.83,0.8782,False
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,tic_si_itsm_02,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-006,HIGH,THIN,BLOCKED,True,10422,665,insufficient,4,1,0,1,0,1,MEDIUM,0,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,0.38,0.2653,0.83,0.8789,False
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,PURE_GPT,P0STATE-EXT-EVAL-B01H-007,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,8982,707,insufficient,2,1,0,1,0,1,HIGH,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3893,0.73,0.8182,False
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,STACK_GPT,P0STATE-EXT-EVAL-B01H-008,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,9546,693,partial,2,1,0,1,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.428,0.3293,0.73,0.8185,False
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-009,MEDIUM_HIGH,PARTIAL,INSUFFICIENT_EVIDENCE,True,7010,668,partial,2,1,0,1,0,1,MEDIUM,0,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3293,0.73,0.8189,False
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,PURE_GPT,P0STATE-EXT-EVAL-B01H-010,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,4943,641,partial,2,1,0,0,0,1,MEDIUM,0,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.368,0.276,0.73,0.8193,False
