case_id,domain,mode,approved_lot,human_decision,accepted_accept_for_calibration_signal,accepted_over_review_flag,accepted_hallucination_risk_flag,accepted_usefulness_score,human_notes
EXT-EVAL-B01H-028,Pequenos negócios de campo,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.9,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-016,Jurídico / Escritório,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-032,Governança documental,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-001,TIC/SI / ITSM,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-003,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-022,Financeiro / Administrativo,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-023,Financeiro / Administrativo,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-024,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-030,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.7,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-033,Governança documental,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.8,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-031,Governança documental,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.8,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-002,TIC/SI / ITSM,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.8,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-021,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.8,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
