case_id,execution_id,scenario_id,domain,mode,model_gate,delta_score,delta_band,computed_gate,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,source_type
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,tic_si_itsm_01,TIC/SI / ITSM,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4923,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,tic_si_itsm_01,TIC/SI / ITSM,STACK_GPT,INSUFFICIENT_EVIDENCE,0.4439,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.439,0.561,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,tic_si_itsm_01,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.4923,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4561,0.5439,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,tic_si_itsm_02,TIC/SI / ITSM,PURE_GPT,BLOCKED,0.3635,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3339,0.6661,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,tic_si_itsm_02,TIC/SI / ITSM,STACK_GPT,HOLD_HUMAN_REVIEW,0.2545,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2366,0.7634,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,tic_si_itsm_02,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,BLOCKED,0.3866,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3712,0.6288,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,PURE_GPT,INSUFFICIENT_EVIDENCE,0.4192,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.4144,0.5856,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,STACK_GPT,HOLD_HUMAN_REVIEW,0.2876,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.28,0.72,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,vesselflow_operacao_maritima_01,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,0.3697,0.31-0.60,HUMAN_REVIEW_REQUIRED,0.5,0.3678,0.6322,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,derived_proxy_from_p0_matrix_t0
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,PURE_GPT,HOLD_HUMAN_REVIEW,0.2736,0.11-0.30,OBSERVATION_REQUIRED,0.25,0.2751,0.7249,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,derived_proxy_from_p0_matrix_t0
