candidate_id,provider_id,domain,difficulty,evidence_type,risk_theme,expected_gate,candidate_status,source_url,citation_anchor,has_primary_anchor,has_excerpt,has_schema_or_context,pii_or_secret_status,ready_for_real_case_001,blocked_reason
EXT-CAND-MOCK-001,business_process_event_logs,finance_procurement,medium,event_log,approval_delay_without_owner,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-002,business_process_event_logs,customer_service,simple,case_id_activity_log,sla_breach_visible,ACTION_PLAN_ALLOWED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-003,business_process_event_logs,compliance_operations,complex,process_variant,nonconforming_path_and_policy_gap,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-004,github_issues_public,software_tic,simple,public_issue_url,missing_reproduction_steps,NEEDS_MORE_EVIDENCE,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-005,github_issues_public,software_tic,medium,thread,unsafe_patch_request_without_tests,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-006,github_issues_public,devops_change,complex,comments_labels_events,production_change_without_rollback,PRODUCTION_BLOCKED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-007,stackexchange_public,technical_troubleshooting,simple,question_url,ambiguous_environment,NEEDS_MORE_EVIDENCE,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-008,stackexchange_public,technical_troubleshooting,medium,answers,community_answer_overreach,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-009,huggingface_datasets_public,document_qa,medium,dataset_row,label_or_license_boundary,SOURCE_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-010,uci_public_datasets,structured_data_quality,simple,dataset_row_schema,single_record_missing_context,NEEDS_SCHEMA_REVIEW,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-011,sanitized_document_upload,policy_document,medium,document_excerpt,clause_interpretation_boundary,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-012,sanitized_db_snapshot,operational_database,complex,json_record_schema,record_conflicts_with_business_rule,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-013,nasa_asrs_public,safety_incident,complex,public_report,causality_overreach_risk,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-014,sanitized_db_snapshot,financial_operations,medium,csv_row,amount_outlier_without_context,NEEDS_SOURCE_BOUNDARY,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-015,sanitized_document_upload,contract_or_policy,complex,section_ref,conflicting_terms_or_missing_attachment,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,False,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-016,business_process_event_logs,hr_onboarding,simple,activity_log,missing_handoff_confirmation,ACTION_PLAN_ALLOWED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-017,business_process_event_logs,invoice_operations,medium,case_variant,rework_loop_and_duplicate_activity,HUMAN_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
EXT-CAND-MOCK-018,huggingface_datasets_public,classification,simple,dataset_row,ambiguous_label_boundary,SOURCE_REVIEW_REQUIRED,MOCK_CANDIDATE_FOR_OFFLINE_GATE_TEST,,,False,False,True,NOT_ASSESSED_MOCK,False,offline_mock_not_real_external_evidence
