issue_id,case_id,priority,source_delta,review_route,selection_score,title
REAL-GRAPH-001-ONBOARDING-ISSUE-CANDIDATE-002,REAL-GRAPH-001-ONBOARDING,P0_BLOCKER,delta_evidence,evidence_owner,118,[P0_BLOCKER] REAL-GRAPH-001-ONBOARDING: evidence required for delta_evidence
REAL-GRAPH-002-DOCUMENT-AUDIT-ISSUE-CANDIDATE-002,REAL-GRAPH-002-DOCUMENT-AUDIT,P0_BLOCKER,delta_evidence,evidence_owner,118,[P0_BLOCKER] REAL-GRAPH-002-DOCUMENT-AUDIT: evidence required for delta_evidence
REAL-GRAPH-003-SOFTWARE-REVIEW-ISSUE-CANDIDATE-001,REAL-GRAPH-003-SOFTWARE-REVIEW,P0_BLOCKER,delta_evidence,evidence_owner,118,[P0_BLOCKER] REAL-GRAPH-003-SOFTWARE-REVIEW: evidence required for delta_evidence
REAL-GRAPH-004-RULE-POLICY-ISSUE-CANDIDATE-003,REAL-GRAPH-004-RULE-POLICY,P0_BLOCKER,delta_evidence,evidence_owner,118,[P0_BLOCKER] REAL-GRAPH-004-RULE-POLICY: evidence required for delta_evidence
REAL-GRAPH-001-ONBOARDING-ISSUE-CANDIDATE-001,REAL-GRAPH-001-ONBOARDING,P0_BLOCKER,delta_domain,domain_owner,114,[P0_BLOCKER] REAL-GRAPH-001-ONBOARDING: domain_owner required for delta_domain
REAL-GRAPH-002-DOCUMENT-AUDIT-ISSUE-CANDIDATE-001,REAL-GRAPH-002-DOCUMENT-AUDIT,P0_BLOCKER,delta_conflict,human_arbitrator,114,[P0_BLOCKER] REAL-GRAPH-002-DOCUMENT-AUDIT: arbitration required for delta_conflict
REAL-GRAPH-004-RULE-POLICY-ISSUE-CANDIDATE-001,REAL-GRAPH-004-RULE-POLICY,P0_BLOCKER,delta_conflict,human_arbitrator,114,[P0_BLOCKER] REAL-GRAPH-004-RULE-POLICY: arbitration required for delta_conflict
REAL-GRAPH-004-RULE-POLICY-ISSUE-CANDIDATE-002,REAL-GRAPH-004-RULE-POLICY,P0_BLOCKER,delta_domain,domain_owner,114,[P0_BLOCKER] REAL-GRAPH-004-RULE-POLICY: domain_owner required for delta_domain
REAL-GRAPH-003-SOFTWARE-REVIEW-ISSUE-CANDIDATE-002,REAL-GRAPH-003-SOFTWARE-REVIEW,P0_BLOCKER,delta_production,production_readiness_owner,112,[P0_BLOCKER] REAL-GRAPH-003-SOFTWARE-REVIEW: production_readiness required for delta_production
REAL-GRAPH-002-DOCUMENT-AUDIT-ISSUE-CANDIDATE-003,REAL-GRAPH-002-DOCUMENT-AUDIT,P0_BLOCKER,delta_human_review,human_reviewer,102,[P0_BLOCKER] REAL-GRAPH-002-DOCUMENT-AUDIT: human_review required for delta_human_review
REAL-GRAPH-003-SOFTWARE-REVIEW-ISSUE-CANDIDATE-003,REAL-GRAPH-003-SOFTWARE-REVIEW,P0_BLOCKER,delta_execution,technical_reviewer,102,[P0_BLOCKER] REAL-GRAPH-003-SOFTWARE-REVIEW: test_plan required for delta_execution
REAL-GRAPH-003-SOFTWARE-REVIEW-ISSUE-CANDIDATE-004,REAL-GRAPH-003-SOFTWARE-REVIEW,P1_REVIEW,delta_model_behavior,calibration_owner,88,[P1_REVIEW] REAL-GRAPH-003-SOFTWARE-REVIEW: calibration_review required for delta_model_behavior
