case_id,execution_id,domain,mode,model_gate,computed_gate,delta_score,delta_band,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_block_count,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,review_status
EXT-EVAL-B01H-001,tic_si_itsm_01__pure_gpt,TIC/SI / ITSM,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4923,0.31-0.60,0.5,0.4561,0.5439,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-002,tic_si_itsm_01__stack_gpt,TIC/SI / ITSM,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4439,0.31-0.60,0.5,0.439,0.561,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-003,tic_si_itsm_01__casulo_exocortex_stack,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4923,0.31-0.60,0.5,0.4561,0.5439,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-004,tic_si_itsm_02__pure_gpt,TIC/SI / ITSM,PURE_GPT,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3635,0.31-0.60,0.5,0.3339,0.6661,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,REVIEW_REQUIRED
EXT-EVAL-B01H-005,tic_si_itsm_02__stack_gpt,TIC/SI / ITSM,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2545,0.11-0.30,0.25,0.2366,0.7634,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION|TIC_MESH_LOCKED,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-006,tic_si_itsm_02__casulo_exocortex_stack,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3866,0.31-0.60,0.5,0.3712,0.6288,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE|TIC_MESH_LOCKED,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-007,vesselflow_operacao_maritima_01__pure_gpt,VesselFlow / Operação marítima,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4192,0.31-0.60,0.5,0.4144,0.5856,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-008,vesselflow_operacao_maritima_01__stack_gpt,VesselFlow / Operação marítima,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2876,0.11-0.30,0.25,0.28,0.72,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-009,vesselflow_operacao_maritima_01__casulo_exocortex_stack,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3697,0.31-0.60,0.5,0.3678,0.6322,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,REVIEW_REQUIRED
EXT-EVAL-B01H-010,vesselflow_operacao_maritima_02__pure_gpt,VesselFlow / Operação marítima,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2736,0.11-0.30,0.25,0.2751,0.7249,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-011,vesselflow_operacao_maritima_02__stack_gpt,VesselFlow / Operação marítima,STACK_GPT,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3512,0.31-0.60,0.5,0.3295,0.6705,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,REVIEW_REQUIRED
EXT-EVAL-B01H-012,vesselflow_operacao_maritima_02__casulo_exocortex_stack,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2299,0.11-0.30,0.25,0.2279,0.7721,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-013,juridico_escritorio_01__pure_gpt,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3153,0.31-0.60,0.5,0.3301,0.6699,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-014,juridico_escritorio_01__stack_gpt,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3599,0.31-0.60,0.5,0.3617,0.6383,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
